2026-05-18 16:29:48.870 INFO  [restartedMain] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-18 16:29:48.871 INFO  [restartedMain] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-05-18 16:29:48.893 INFO  [restartedMain] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 792 ms
2026-05-18 16:29:49.019 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-18 16:29:49.158 INFO  [restartedMain] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@af8fa49
2026-05-18 16:29:49.159 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-18 16:29:49.356 INFO  [restartedMain] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
2026-05-18 16:29:49.462 INFO  [restartedMain] o.s.b.w.a.WelcomePageHandlerMapping - Adding welcome page: URL [file:frontend/public/index.html]
2026-05-18 16:29:49.615 INFO  [restartedMain] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-05-18 16:29:49.625 INFO  [restartedMain] o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-05-18 16:29:49.632 INFO  [restartedMain] c.example.petlife.PetlifeApplication - Started PetlifeApplication in 1.935 seconds (process running for 2.361)
2026-05-18 16:30:20.258 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-18 16:30:20.259 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-18 16:30:20.263 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
